SYMBOL,COMPANY_NAME,EXCHANGE,YF_TICKER
IMPEXFERRO,IMPEX FERRO TECH LIMITED,NSE,IMPEXFERRO.NS
INDIFRA,INDIFRA LIMITED,NSE,INDIFRA.NS
INDOBORAX,INDO BORAX & CHEMICALS LIMITED,NSE,INDOBORAX.NS
INDORAMA,INDO RAMA SYNTHETICS (INDIA) LIMITED,NSE,INDORAMA.NS
INDOTECH,INDO TECH TRANSFORMERS LIMITED,NSE,INDOTECH.NS
INDOTHAI,INDO THAI SECURITIES LIMITED,NSE,INDOTHAI.NS
INDSWFTLAB,IND-SWIFT LABORATORIES LIMITED,NSE,INDSWFTLAB.NS
INFINIUM,INFINIUM PHARMACHEM LIMITED,NSE,INFINIUM.NS
INFLUX,INFLUX HEALTHTECH LIMITED,NSE,INFLUX.NS
INFOMEDIA,INFOMEDIA PRESS LIMITED,NSE,INFOMEDIA.NS
INNOMET,INNOMET ADVANCED MATERIALS LIMITED,NSE,INNOMET.NS
INNOVANA,INNOVANA THINKLABS LIMITED,NSE,INNOVANA.NS
INOXGREEN,INOX GREEN ENERGY SERVICES LIMITED,NSE,INOXGREEN.NS
INSPIRISYS,INSPIRISYS SOLUTIONS LIMITED,NSE,INSPIRISYS.NS
INTERARCH,INTERARCH BUILDING SOLUTIONS LIMITED,NSE,INTERARCH.NS
IRIS,IRIS BUSINESS SERVICES LIMITED,NSE,IRIS.NS
IRISDOREME,IRIS CLOTHINGS LIMITED,NSE,IRISDOREME.NS
ISHANCH,ISHAN DYES AND CHEMICALS LIMITED,NSE,ISHANCH.NS
IWARE,IWARE SUPPLYCHAIN SERVICES LIMITED,NSE,IWARE.NS
IZMO,IZMO LIMITED,NSE,IZMO.NS
JAINAM,JAINAM FERRO ALLOYS (I) LIMITED,NSE,JAINAM.NS
JAINIK,JAINIK POWER CABLES LIMITED,NSE,JAINIK.NS
JAKHARIA,JAKHARIA FABRIC LIMITED,NSE,JAKHARIA.NS
JALAN,JALAN TRANSOLUTIONS (INDIA) LIMITED,NSE,JALAN.NS
JAYBARMARU,JAY BHARAT MARUTI LIMITED,NSE,JAYBARMARU.NS
JETKNIT,JET KNITWEARS LIMITED,NSE,JETKNIT.NS
JFLLIFE,JFL LIFE SCIENCES LIMITED,NSE,JFLLIFE.NS
JPASSOCIAT,JAIPRAKASH ASSOCIATES LIMITED,NSE,JPASSOCIAT.NS
JPPOWER,JAIPRAKASH POWER VENTURES LIMITED,NSE,JPPOWER.NS
JSWHL,JSW HOLDINGS LIMITED,NSE,JSWHL.NS
JUBLCPL,JUBILANT AGRI AND CONSUMER PRODUCTS LIMITED,NSE,JUBLCPL.NS
K2INFRA,K2 INFRAGEN LIMITED,NSE,K2INFRA.NS
KALYANI,KALYANI COMMERCIALS LIMITED,NSE,KALYANI.NS
KANDARP,KANDARP DIGI SMART BPO LIMITED,NSE,KANDARP.NS
KARMAENG,KARMA ENERGY LIMITED,NSE,KARMAENG.NS
KAUSHALYA,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,NSE,KAUSHALYA.NS
KAVDEFENCE,KAVVERI DEFENCE & WIRELESS TECHNOLOGIES LIMITED,NSE,KAVDEFENCE.NS
KAYA,KAYA LIMITED,NSE,KAYA.NS
KCEIL,KAY CEE ENERGY & INFRA LIMITED,NSE,KCEIL.NS
KEEPLEARN,DSJ KEEP LEARNING LIMITED,NSE,KEEPLEARN.NS
KERNEX,KERNEX MICROSYSTEMS (INDIA) LIMITED,NSE,KERNEX.NS
KESORAMIND,KESORAM INDUSTRIES LIMITED,NSE,KESORAMIND.NS
KHAITANLTD,KHAITAN (INDIA) LIMITED,NSE,KHAITANLTD.NS
KINGFA,KINGFA SCIENCE & TECHNOLOGY (INDIA) LIMITED,NSE,KINGFA.NS
KITEX,KITEX GARMENTS LIMITED,NSE,KITEX.NS
KKVAPOW,KKV AGRO POWERS LIMITED,NSE,KKVAPOW.NS
KORE,JAY JALARAM TECHNOLOGIES LIMITED,NSE,KORE.NS
KOTYARK,KOTYARK INDUSTRIES LIMITED,NSE,KOTYARK.NS
KREBSBIO,KREBS BIOCHEMICALS AND INDUSTRIES LIMITED,NSE,KREBSBIO.NS
KRIDHANINF,KRIDHAN INFRA LIMITED,NSE,KRIDHANINF.NS
KRITI,KRITI INDUSTRIES (INDIA) LIMITED,NSE,KRITI.NS
KTL,KALAHRIDHAAN TRENDZ LIMITED,NSE,KTL.NS
LAKPRE,LAKSHMI PRECISION SCREWS LIMITED,NSE,LAKPRE.NS
LAL,LORENZINI APPARELS LIMITED,NSE,LAL.NS
LCCINFOTEC,LCC INFOTECH LIMITED,NSE,LCCINFOTEC.NS
LGHL,LAXMI GOLDORNA HOUSE LIMITED,NSE,LGHL.NS
LINC,LINC LIMITED,NSE,LINC.NS
LIQUIDBEES,NIPPON INDIA ETF NIFTY 1D RATE LIQUID BEES,NSE,LIQUIDBEES.NS
LORDSCHLO,LORDS CHLORO ALKALI LIMITED,NSE,LORDSCHLO.NS
LOTUSEYE,LOTUS EYE HOSPITAL AND INSTITUTE LIMITED,NSE,LOTUSEYE.NS
LOYALTEX,LOYAL TEXTILE MILLS LIMITED,NSE,LOYALTEX.NS
LRRPL,LEAD RECLAIM AND RUBBER PRODUCTS LIMITED,NSE,LRRPL.NS
LYPSAGEMS,LYPSA GEMS & JEWELLERY LIMITED,NSE,LYPSAGEMS.NS
MAANALU,MAAN ALUMINIUM LIMITED,NSE,MAANALU.NS
MADHAVBAUG,VAIDYA SANE AYURVED LABORATORIES LIMITED,NSE,MADHAVBAUG.NS
MADHUCON,MADHUCON PROJECTS LIMITED,NSE,MADHUCON.NS
MAGSON,MAGSON RETAIL AND DISTRIBUTION LIMITED,NSE,MAGSON.NS
MAL,MANGALAM ALLOYS LIMITED,NSE,MAL.NS
MANAKSTEEL,MANAKSIA STEELS LIMITED,NSE,MANAKSTEEL.NS
MANAV,MANAV INFRA PROJECTS LIMITED,NSE,MANAV.NS
MANDEEP,MANDEEP AUTO INDUSTRIES LIMITED,NSE,MANDEEP.NS
MANORG,MANGALAM ORGANICS LIMITED,NSE,MANORG.NS
MARINE,MARINE ELECTRICALS (INDIA) LIMITED,NSE,MARINE.NS
MARINETRAN,MARINETRANS INDIA LIMITED,NSE,MARINETRAN.NS
MARSHALL,MARSHALL MACHINES LIMITED,NSE,MARSHALL.NS
MASON,MASON INFRATECH LIMITED,NSE,MASON.NS
MASTER,MASTER COMPONENTS LIMITED,NSE,MASTER.NS
MCON,MCON RASAYAN INDIA LIMITED,NSE,MCON.NS
MEDIORG,MEDICAMEN ORGANICS LIMITED,NSE,MEDIORG.NS
MEGAFLEX,MEGA FLEX PLASTICS LIMITED,NSE,MEGAFLEX.NS
MEGASOFT,MEGASOFT LIMITED,NSE,MEGASOFT.NS
MHHL,MOHINI HEALTH & HYGIENE LIMITED,NSE,MHHL.NS
MIEL,MANGLAM INFRA & ENGINEERING LIMITED,NSE,MIEL.NS
MILTON,MILTON INDUSTRIES LIMITED,NSE,MILTON.NS
MINDPOOL,MINDPOOL TECHNOLOGIES LIMITED,NSE,MINDPOOL.NS
MINDTECK,MINDTECK (INDIA) LIMITED,NSE,MINDTECK.NS
MIRCELECTR,MIRC ELECTRONICS LIMITED,NSE,MIRCELECTR.NS
MKPL,M K PROTEINS LIMITED,NSE,MKPL.NS
MODTHREAD,MODERN THREADS (INDIA) LIMITED,NSE,MODTHREAD.NS
MONOLITH,MONOLITHISCH INDIA LIMITED,NSE,MONOLITH.NS
MORARJEE,MORARJEE TEXTILES LIMITED,NSE,MORARJEE.NS
MOXSH,MOXSH OVERSEAS EDUCON LIMITED,NSE,MOXSH.NS
MPTODAY,MADHYA PRADESH TODAY MEDIA LIMITED,NSE,MPTODAY.NS
MTEDUCARE,MT EDUCARE LIMITED,NSE,MTEDUCARE.NS
